OUT,Mn,Mo,C,Al,N,Cr,P,Cu,S,Si,Ni
76,0.51,0.5,0.09,0.004,0.0106,4.77,0.01,0.12,0.012,0.27,0.075
75,0.45,0.49,0.1,0.006,0.0142,4.66,0.016,0.05,0.005,0.37,0.05
79,0.45,0.5,0.11,0.008,0.0159,4.68,0.017,0.05,0.006,0.37,0.043
78,0.45,0.5,0.12,0.007,0.0115,4.61,0.018,0.05,0.005,0.36,0.048
88,0.44,0.51,0.12,0.007,0.015,5.02,0.02,0.05,0.006,0.36,0.083
90,0.56,0.49,0.12,0.006,0.017,5,0.022,0.05,0.006,0.33,0.046
89,0.55,0.5,0.12,0.007,0.0178,4.99,0.02,0.06,0.005,0.32,0.046
81,0.57,0.53,0.14,0.005,0.0098,0.96,0.011,0.14,0.009,0.25,0.15
78,0.55,0.54,0.14,0.017,0.0098,0.91,0.012,0.14,0.011,0.25,0.14
77,0.52,0.48,0.12,0.013,0.0108,0.86,0.013,0.13,0.01,0.21,0.16
79,0.56,0.5,0.14,0.003,0.0062,1.02,0.006,0.06,0.013,0.25,0.037
78,0.56,0.5,0.15,0.003,0.0061,1.03,0.005,0.05,0.012,0.27,0.096
77,0.5,0.52,0.14,0.006,0.006,1.02,0.009,0.04,0.013,0.21,0.03
82,0.58,0.53,0.145,0.004,0.0063,1.09,0.013,0.14,0.005,0.2,0.03
81,0.5,0.45,0.18,0.007,0.0124,1,0.015,0.01,0.012,0.2,0.02
92,0.6,0.51,0.15,0.021,0.0134,1.2,0.009,0.14,0.013,0.61,0.035
94,0.56,0.51,0.16,0.003,0.0072,1.27,0.015,0.04,0.015,0.66,0.05
86,0.54,0.476,0.13,0.004,0.0076,1.1,0.009,0.06,0.011,0.52,0.05
81,0.5,0.46,0.12,0.019,0.0043,1.2,0.009,0.04,0.009,0.72,0.1
87,0.52,0.476,0.15,0.005,0.0076,1.1,0.009,0.05,0.01,0.61,0.07
91,0.58,0.52,0.15,0.003,0.0062,1.27,0.01,0.03,0.013,0.64,0.05
83,0.53,0.52,0.14,0.023,0.0112,1.22,0.014,0.16,0.015,0.65,0.23
